"GenusSpecies","DispersalDistance","DispersalDistance_Unit","DispersalDistance_ObservationType","DispersalDistance_MeasurementType","DispersalDistance_Database","DispersalFrequency","DispersalFrequency_Unit","DispersalFrequency_MeasurementType","DispersalFrequency_Database","MaxDispersalDistanceKm","MaxDispersalDistance_Database","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","DispersalFrequencyY","PotentialDispersalRateKmY"
"Chroicocephalus ridibundus",44.5,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",728.468,"days","AgeAtMaturity","Amniota",190,"Jenkins et al. 2007",44.5,5,2,95
"Chroicocephalus ridibundus",47,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",728.468,"days","AgeAtMaturity","Amniota",190,"Jenkins et al. 2007",44.5,5,2,95
"Chroicocephalus ridibundus",7.968,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",728.468,"days","AgeAtMaturity","Amniota",190,"Jenkins et al. 2007",44.5,5,2,95
"Chroicocephalus ridibundus",10.527,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",728.468,"days","AgeAtMaturity","Amniota",190,"Jenkins et al. 2007",44.5,5,2,95
"Cicerbita muralis",0.99,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.01433,"Tamme et al. 2014",0.007645,4,1,0.01433
"Cicerbita muralis",14.33,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.01433,"Tamme et al. 2014",0.007645,4,1,0.01433
"Cicerbita muralis",0.99,"m","seed dispersal","MedianDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.01433,"Tamme et al. 2014",0.007645,4,1,0.01433
"Cicerbita muralis",14.3,"m","seed dispersal","99thPercentileDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.01433,"Tamme et al. 2014",0.007645,4,1,0.01433
"Cichorium intybus",0.16,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00096,"Tamme et al. 2014",0.00056,2,1,0.00096
"Cichorium intybus",0.96,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00096,"Tamme et al. 2014",0.00056,2,1,0.00096
"Cinclus cinclus",29800,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",29.8,"Jenkins et al. 2007",1.678,5,1,29.8
"Cinclus cinclus",1.2,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",29.8,"Jenkins et al. 2007",1.678,5,1,29.8
"Cinclus cinclus",8,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",29.8,"Jenkins et al. 2007",1.678,5,1,29.8
"Cinclus cinclus",0.23,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",29.8,"Jenkins et al. 2007",1.678,5,1,29.8
"Cinclus cinclus",1.678,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",29.8,"Jenkins et al. 2007",1.678,5,1,29.8
"Circus cyaneus",60800,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",60.8,"Jenkins et al. 2007",22,3,1,60.8
"Circus cyaneus",22,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",60.8,"Jenkins et al. 2007",22,3,1,60.8
"Circus cyaneus",10.73,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",60.8,"Jenkins et al. 2007",22,3,1,60.8
"Cirsium arvense",2.02,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.0534,"Vittoz & Engler 2007",0.011375,6,1,0.0534
"Cirsium arvense",53.37,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.0534,"Vittoz & Engler 2007",0.011375,6,1,0.0534
"Cirsium arvense",11.35,"m","seed dispersal","MaxDispersalDistance","Jenkins et al. 2007",1,"yrs","AgeAtMaturity","TRY",0.0534,"Vittoz & Engler 2007",0.011375,6,1,0.0534
"Cirsium arvense",2,"m","seed dispersal","MedianDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.0534,"Vittoz & Engler 2007",0.011375,6,1,0.0534
"Cirsium arvense",53.4,"m","seed dispersal","99thPercentileDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.0534,"Vittoz & Engler 2007",0.011375,6,1,0.0534
"Cirsium arvense",11.4,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.0534,"Vittoz & Engler 2007",0.011375,6,1,0.0534
"Cirsium dissectum",0.77,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00925,"Tamme et al. 2014",0.00501,2,1,0.00925
"Cirsium dissectum",9.25,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00925,"Tamme et al. 2014",0.00501,2,1,0.00925
"Cirsium palustre",1.55,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.02349,"Tamme et al. 2014",0.00681,3,1,0.02349
"Cirsium palustre",23.49,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.02349,"Tamme et al. 2014",0.00681,3,1,0.02349
"Cirsium palustre",6.81,"m","seed dispersal","MaxDispersalDistance","Jenkins et al. 2007",1,"yrs","AgeAtMaturity","TRY",0.02349,"Tamme et al. 2014",0.00681,3,1,0.02349
"Cirsium vulgare",900,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.9,"Tamme et al. 2014",0.0316,5,1,0.9
"Cirsium vulgare",1.8,"m","seed dispersal","MedianDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.9,"Tamme et al. 2014",0.0316,5,1,0.9
"Cirsium vulgare",31.6,"m","seed dispersal","99thPercentileDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.9,"Tamme et al. 2014",0.0316,5,1,0.9
"Cirsium vulgare",1,"m","seed dispersal","MeanDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.9,"Tamme et al. 2014",0.0316,5,1,0.9
"Cirsium vulgare",32,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.9,"Tamme et al. 2014",0.0316,5,1,0.9
"Columba oenas",41600,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",41.6,"Jenkins et al. 2007",5.6,5,1,41.6
"Columba oenas",5.6,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",41.6,"Jenkins et al. 2007",5.6,5,1,41.6
"Columba oenas",10.4,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",41.6,"Jenkins et al. 2007",5.6,5,1,41.6
"Columba oenas",1.426,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",41.6,"Jenkins et al. 2007",5.6,5,1,41.6
"Columba oenas",3.035,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",41.6,"Jenkins et al. 2007",5.6,5,1,41.6
"Columba palumbus",150000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",150,"Jenkins et al. 2007",10.7,5,1,150
"Columba palumbus",10.9,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",150,"Jenkins et al. 2007",10.7,5,1,150
"Columba palumbus",10.7,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",150,"Jenkins et al. 2007",10.7,5,1,150
"Columba palumbus",1.805,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",150,"Jenkins et al. 2007",10.7,5,1,150
"Columba palumbus",2.277,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",150,"Jenkins et al. 2007",10.7,5,1,150
"Conium maculatum",0.13,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",7e-04,"Tamme et al. 2014",0.000415,2,1,7e-04
"Conium maculatum",0.7,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",7e-04,"Tamme et al. 2014",0.000415,2,1,7e-04
"Coronella austriaca",67,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",1095.72,"days","AgeAtMaturity","Amniota",0.067,"Jenkins et al. 2007",0.067,1,4,0.01675
"Corvus brachyrhynchos",51.76120295,"km","natal dispersal","SingleObservation","Chu 2021",730,"days","AgeAtMaturity","AnAge",51.76120295,"Chu 2021",51.76120295,2,2,25.880601475
"Corvus brachyrhynchos",51.76120295,"km","natal dispersal","SingleObservation","Chu 2021",730,"days","AgeAtMaturity","AnAge",51.76120295,"Chu 2021",51.76120295,2,2,25.880601475
"Corvus corax",11500,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",1095,"days","AgeAtMaturity","AnAge",39.6,"Paradis et al. 2002",11.5,5,3,13.2
"Corvus corax",39.6,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",1095,"days","AgeAtMaturity","AnAge",39.6,"Paradis et al. 2002",11.5,5,3,13.2
"Corvus corax",25.835,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",1095,"days","AgeAtMaturity","AnAge",39.6,"Paradis et al. 2002",11.5,5,3,13.2
"Corvus corax",3.37089957,"km","natal dispersal","MeanDispersalDistance","Chu 2021",1095,"days","AgeAtMaturity","AnAge",39.6,"Paradis et al. 2002",11.5,5,3,13.2
"Corvus corax",3.376201823,"km","natal dispersal","MeanDispersalDistance","Chu 2021",1095,"days","AgeAtMaturity","AnAge",39.6,"Paradis et al. 2002",11.5,5,3,13.2
"Corvus cornix",35500,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",910.968,"days","AgeAtMaturity","Amniota",35.5,"Jenkins et al. 2007",3.7,5,3,11.8333333333333
"Corvus cornix",3.7,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",910.968,"days","AgeAtMaturity","Amniota",35.5,"Jenkins et al. 2007",3.7,5,3,11.8333333333333
"Corvus cornix",9.9,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",910.968,"days","AgeAtMaturity","Amniota",35.5,"Jenkins et al. 2007",3.7,5,3,11.8333333333333
"Corvus cornix",0.925,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",910.968,"days","AgeAtMaturity","Amniota",35.5,"Jenkins et al. 2007",3.7,5,3,11.8333333333333
"Corvus cornix",3.24,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",910.968,"days","AgeAtMaturity","Amniota",35.5,"Jenkins et al. 2007",3.7,5,3,11.8333333333333
"Corvus frugilegus",34500,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",546.734,"days","AgeAtMaturity","Amniota",34.5,"Jenkins et al. 2007",3.1,5,2,17.25
"Corvus frugilegus",3.1,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",546.734,"days","AgeAtMaturity","Amniota",34.5,"Jenkins et al. 2007",3.1,5,2,17.25
"Corvus frugilegus",8.5,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",546.734,"days","AgeAtMaturity","Amniota",34.5,"Jenkins et al. 2007",3.1,5,2,17.25
"Corvus frugilegus",0.65,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",546.734,"days","AgeAtMaturity","Amniota",34.5,"Jenkins et al. 2007",3.1,5,2,17.25
"Corvus frugilegus",1.964,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",546.734,"days","AgeAtMaturity","Amniota",34.5,"Jenkins et al. 2007",3.1,5,2,17.25
"Corvus monedula",31800,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",637.601,"days","AgeAtMaturity","Amniota",31.8,"Jenkins et al. 2007",6,5,2,15.9
"Corvus monedula",6,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",637.601,"days","AgeAtMaturity","Amniota",31.8,"Jenkins et al. 2007",6,5,2,15.9
"Corvus monedula",8.6,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",637.601,"days","AgeAtMaturity","Amniota",31.8,"Jenkins et al. 2007",6,5,2,15.9
"Corvus monedula",0.721,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",637.601,"days","AgeAtMaturity","Amniota",31.8,"Jenkins et al. 2007",6,5,2,15.9
"Corvus monedula",2.127,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",637.601,"days","AgeAtMaturity","Amniota",31.8,"Jenkins et al. 2007",6,5,2,15.9
"Corylus avellana",15000,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",15,"Tamme et al. 2014",15,2,1,15
"Corylus avellana",15000,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",15,"Tamme et al. 2014",15,2,1,15
"Crepis biennis",350,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.35,"Tamme et al. 2014",0.35,1,1,0.35
"Crepis capillaris",650,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",24,"weeks","AgeAtMaturity","TRY",0.65,"Tamme et al. 2014",0.65,1,1,0.65
"Crepis paludosa",0.31,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.0022,"Tamme et al. 2014",0.001255,4,1,0.0022
"Crepis paludosa",2.2,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.0022,"Tamme et al. 2014",0.001255,4,1,0.0022
"Crepis paludosa",0.31,"m","seed dispersal","MedianDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.0022,"Tamme et al. 2014",0.001255,4,1,0.0022
"Crepis paludosa",2.2,"m","seed dispersal","99thPercentileDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.0022,"Tamme et al. 2014",0.001255,4,1,0.0022
"Curruca curruca",80900,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",80.9,"Jenkins et al. 2007",16.886,5,1,80.9
"Curruca curruca",16.4,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",80.9,"Jenkins et al. 2007",16.886,5,1,80.9
"Curruca curruca",32.3,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",80.9,"Jenkins et al. 2007",16.886,5,1,80.9
"Curruca curruca",5.129,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",80.9,"Jenkins et al. 2007",16.886,5,1,80.9
"Curruca curruca",16.886,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",80.9,"Jenkins et al. 2007",16.886,5,1,80.9
"Cyanistes caeruleus",0.7,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",470,"Sutherland (birds)",2.3,7,1,470
"Cyanistes caeruleus",470,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",470,"Sutherland (birds)",2.3,7,1,470
"Cyanistes caeruleus",35700,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",470,"Sutherland (birds)",2.3,7,1,470
"Cyanistes caeruleus",2.3,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",470,"Sutherland (birds)",2.3,7,1,470
"Cyanistes caeruleus",5.3,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",470,"Sutherland (birds)",2.3,7,1,470
"Cyanistes caeruleus",0.232,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",470,"Sutherland (birds)",2.3,7,1,470
"Cyanistes caeruleus",0.796,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",470,"Sutherland (birds)",2.3,7,1,470
"Cygnus buccinator",128,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",730,"days","AgeAtMaturity","AnAge",128,"Sutherland (birds)",97.95943073,4,2,64
"Cygnus buccinator",128000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",730,"days","AgeAtMaturity","AnAge",128,"Sutherland (birds)",97.95943073,4,2,64
"Cygnus buccinator",22.63637215,"km","natal dispersal","MeanDispersalDistance","Chu 2021",730,"days","AgeAtMaturity","AnAge",128,"Sutherland (birds)",97.95943073,4,2,64
"Cygnus buccinator",67.91886146,"km","natal dispersal","MeanDispersalDistance","Chu 2021",730,"days","AgeAtMaturity","AnAge",128,"Sutherland (birds)",97.95943073,4,2,64
"Cygnus olor",64,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",1095,"days","AgeAtMaturity","AnAge",114,"Jenkins et al. 2007",26.15,6,3,38
"Cygnus olor",114000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",1095,"days","AgeAtMaturity","AnAge",114,"Jenkins et al. 2007",26.15,6,3,38
"Cygnus olor",18,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",1095,"days","AgeAtMaturity","AnAge",114,"Jenkins et al. 2007",26.15,6,3,38
"Cygnus olor",34.3,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",1095,"days","AgeAtMaturity","AnAge",114,"Jenkins et al. 2007",26.15,6,3,38
"Cygnus olor",2.719,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",1095,"days","AgeAtMaturity","AnAge",114,"Jenkins et al. 2007",26.15,6,3,38
"Cygnus olor",16.772,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",1095,"days","AgeAtMaturity","AnAge",114,"Jenkins et al. 2007",26.15,6,3,38
"Cynara cardunculus",10.1,"m","seed dispersal","MeanDispersalDistance","Flores et al. 2013",1,"yrs","AgeAtMaturity","TRY",0.028,"Flores et al. 2013",0.01905,2,1,0.028
"Cynara cardunculus",28,"m","seed dispersal","MaxDispersalDistance","Flores et al. 2013",1,"yrs","AgeAtMaturity","TRY",0.028,"Flores et al. 2013",0.01905,2,1,0.028
"Daucus carota",17,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",6,"weeks","AgeAtMaturity","TRY",0.017,"Tamme et al. 2014",0.00093,6,1,0.017
"Daucus carota",0.15,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",6,"weeks","AgeAtMaturity","TRY",0.017,"Tamme et al. 2014",0.00093,6,1,0.017
"Daucus carota",0.93,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",6,"weeks","AgeAtMaturity","TRY",0.017,"Tamme et al. 2014",0.00093,6,1,0.017
"Daucus carota",0.15,"m","seed dispersal","MedianDispersalDistance","Vittoz & Engler 2007",6,"weeks","AgeAtMaturity","TRY",0.017,"Tamme et al. 2014",0.00093,6,1,0.017
"Daucus carota",0.93,"m","seed dispersal","99thPercentileDispersalDistance","Vittoz & Engler 2007",6,"weeks","AgeAtMaturity","TRY",0.017,"Tamme et al. 2014",0.00093,6,1,0.017
"Daucus carota",17,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",6,"weeks","AgeAtMaturity","TRY",0.017,"Tamme et al. 2014",0.00093,6,1,0.017
"Delichon urbicum",0.03,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",34.8,"Jenkins et al. 2007",4.2,7,1,34.8
"Delichon urbicum",4.3,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",34.8,"Jenkins et al. 2007",4.2,7,1,34.8
"Delichon urbicum",34800,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",34.8,"Jenkins et al. 2007",4.2,7,1,34.8
"Delichon urbicum",4.2,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",34.8,"Jenkins et al. 2007",4.2,7,1,34.8
"Delichon urbicum",10.4,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",34.8,"Jenkins et al. 2007",4.2,7,1,34.8
"Delichon urbicum",0.688,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",34.8,"Jenkins et al. 2007",4.2,7,1,34.8
"Delichon urbicum",3.185,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",34.8,"Jenkins et al. 2007",4.2,7,1,34.8
"Dendrocopos major",56100,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",56.1,"Jenkins et al. 2007",5.875,5,1,56.1
"Dendrocopos major",3.7,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",56.1,"Jenkins et al. 2007",5.875,5,1,56.1
"Dendrocopos major",16.5,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",56.1,"Jenkins et al. 2007",5.875,5,1,56.1
"Dendrocopos major",0.608,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",56.1,"Jenkins et al. 2007",5.875,5,1,56.1
"Dendrocopos major",5.875,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",56.1,"Jenkins et al. 2007",5.875,5,1,56.1
"Descurainia sophia",0.04,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00017,"Tamme et al. 2014",0.000105,2,1,0.00017
"Descurainia sophia",0.17,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00017,"Tamme et al. 2014",0.000105,2,1,0.00017
"Didelphis virginiana",4.3,"km","natal dispersal","MaxDispersalDistance","Sutherland (mammals)",184,"days","AgeAtMaturity","AnAge",5.152,"Sutherland (mammals)",5.15,3,1,5.152
"Didelphis virginiana",5.152,"km","natal dispersal","MaxDispersalDistance","Sutherland (mammals)",184,"days","AgeAtMaturity","AnAge",5.152,"Sutherland (mammals)",5.15,3,1,5.152
"Didelphis virginiana",5150,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",184,"days","AgeAtMaturity","AnAge",5.152,"Sutherland (mammals)",5.15,3,1,5.152
"Digitalis purpurea",0.19,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00115,"Tamme et al. 2014",0.00067,2,1,0.00115
"Digitalis purpurea",1.15,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00115,"Tamme et al. 2014",0.00067,2,1,0.00115
"Drosera rotundifolia",0.08,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00062,"Tamme et al. 2014",0.00035,2,1,0.00062
"Drosera rotundifolia",0.62,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00062,"Tamme et al. 2014",0.00035,2,1,0.00062
"Dryocopus pileatus",32,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",354,"days","AgeAtMaturity","AnAge",32,"Sutherland (birds)",32,2,1,32
"Dryocopus pileatus",32000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",354,"days","AgeAtMaturity","AnAge",32,"Sutherland (birds)",32,2,1,32
"Egretta thula",42.63405736,"km","natal dispersal","MeanDispersalDistance","Chu 2021",365,"days","AgeAtMaturity","AnAge",99.24094678,"Chu 2021",70.93750207,2,1,99.24094678
"Egretta thula",99.24094678,"km","natal dispersal","MeanDispersalDistance","Chu 2021",365,"days","AgeAtMaturity","AnAge",99.24094678,"Chu 2021",70.93750207,2,1,99.24094678
"Elanus leucurus",160,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",726.936,"days","AgeAtMaturity","Amniota",160,"Sutherland (birds)",160,2,2,80
"Elanus leucurus",160000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",726.936,"days","AgeAtMaturity","Amniota",160,"Sutherland (birds)",160,2,2,80
"Elymus repens",7,"m","seed dispersal","MeanDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.007,"Tamme et al. 2014",0.007,1,1,0.007
"Emberiza citrinella",36000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",36,"Jenkins et al. 2007",2.026,5,1,36
"Emberiza citrinella",0.8,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",36,"Jenkins et al. 2007",2.026,5,1,36
"Emberiza citrinella",8.4,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",36,"Jenkins et al. 2007",2.026,5,1,36
"Emberiza citrinella",0.16,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",36,"Jenkins et al. 2007",2.026,5,1,36
"Emberiza citrinella",2.026,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",36,"Jenkins et al. 2007",2.026,5,1,36
"Emberiza schoeniclus",31600,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",31.6,"Jenkins et al. 2007",3.8,5,1,31.6
"Emberiza schoeniclus",3.8,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",31.6,"Jenkins et al. 2007",3.8,5,1,31.6
"Emberiza schoeniclus",5.4,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",31.6,"Jenkins et al. 2007",3.8,5,1,31.6
