"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name","Method"
"Adalia bipunctata",1,1,"Adalia bipunctata","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","GBIF","GBIF:1043097","Adalia bipunctata","Adalia bipunctata","Find_Sci_Names"
"Adalia decempunctata",1,1,"Adalia decempunctata","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","GBIF","GBIF:4452227","Adalia decempunctata","Adalia decempunctata","Find_Sci_Names"
"Adansonia digitata",1,0,"Adansonia digitata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","GBIF","GBIF:5406695","Adansonia digitata","Adansonia digitata","Find_Sci_Names"
"Adelomyia melanogenys",1,1,"Adelomyia melanogenys","Animalia","Chordata","Aves","Apodiformes","Trochilidae","GBIF","GBIF:2476168","Adelomyia melanogenys","Adelomyia melanogenys","Find_Sci_Names"
"Adelpha basiloides",0,1,"Adelpha basiloides","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","GBIF","GBIF:5714312","Adelpha basiloides","Adelpha basiloides","Find_Sci_Names"
"Adelpha donysa",0,1,"Limenitis donysa","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","GBIF","GBIF:5132207","Adelpha donysa","Adelpha donysa","Find_Sci_Names"
"Adelpha sp.",1,0,"Limenitis donysa","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","GBIF","GBIF:5132207","Adelpha donysa","Adelpha donysa donysa","Find_Sci_Names"
"Adelpha salmoneus",0,1,"Limenitis salmoneus","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","GBIF","GBIF:5132484","Adelpha salmoneus","Adelpha salmoneus","Find_Sci_Names"
"Adenium obesum",1,0,"Adenium obesum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","GBIF","GBIF:7155887","Adenium obesium","Adenium obesium","Find_Sci_Names"
"Adenocaulon bicolor",1,1,"Adenocaulon bicolor","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3092979","Adenocaulon bicolor","Adenocaulon bicolor","Find_Sci_Names"
"Adenophyllum cooperi",1,1,"Adenophyllum cooperi","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3132223","Adenophyllum cooperi","Adenophyllum cooperi","Find_Sci_Names"
"Adenophyllum porophylloides",1,1,"Adenophyllum porophylloides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3132271","Adenophyllum porophylloides","Adenophyllum porophylloides","Find_Sci_Names"
"Adenostoma fasciculatum",1,1,"Adenostoma fasciculatum","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","GBIF","GBIF:3030227","Adenostoma fasciculatum","Adenostoma fasciculatum","Find_Sci_Names"
"Adenostoma fasciculatum",1,1,"Adenostoma fasciculatum","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","GBIF","GBIF:3030227","Adenostoma fasciculatum","Adenostoma fasciculatum var. fasciculatum","Find_Sci_Names"
"Adenostoma sparsifolium",1,1,"Adenostoma sparsifolium","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","GBIF","GBIF:3030225","Adenostoma sparsifolium","Adenostoma sparsifolium","Find_Sci_Names"
"Adenostyles alliariae",1,1,"Adenostyles alliariae","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3133702","Adenostyles alliariae","Adenostyles alliariae","Find_Sci_Names"
"Adenostyles glabra",1,0,"Adenostyles alpina","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:7223542","Adenostyles glabra","Adenostyles glabra","Find_Sci_Names"
"Adenostyles leucophylla",1,1,"Adenostyles leucophylla","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3133716","Adenostyles leucophylla","Adenostyles leucophylla","Find_Sci_Names"
"Adiantum aleuticum",1,1,"Adiantum aleuticum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","GBIF","GBIF:2651843","Adiantum aleuticum","Adiantum aleuticum","Find_Sci_Names"
"Adiantum capillus-veneris",1,1,"Adiantum capillus-veneris","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","GBIF","GBIF:2651816","Adiantum capillus-veneris","Adiantum capillus-veneris","Find_Sci_Names"
"Adiantum jordanii",1,1,"Adiantum jordanii","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","GBIF","GBIF:8087456","Adiantum jordanii","Adiantum jordanii","Find_Sci_Names"
"Adiantum pedatum",1,1,"Adiantum pedatum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","GBIF","GBIF:2651832","Adiantum pedatum","Adiantum pedatum","Find_Sci_Names"
"Adolphia californica",1,1,"Adolphia californica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","GBIF","GBIF:5372475","Adolphia californica","Adolphia californica","Find_Sci_Names"
"Adoxa moschatellina",1,1,"Adoxa moschatellina","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Viburnaceae","GBIF","GBIF:2888794","Adoxa moschatellina","Adoxa moschatellina","Find_Sci_Names"
"Adscita geryon",1,1,"Adscita geryon","Animalia","Arthropoda","Insecta","Lepidoptera","Zygaenidae","GBIF","GBIF:8403618","Adscita geryon","Adscita geryon","Find_Sci_Names"
"Adscita statices",1,1,"Adscita statices","Animalia","Arthropoda","Insecta","Lepidoptera","Zygaenidae","GBIF","GBIF:4522753","Adscita statices","Adscita statices","Find_Sci_Names"
"Aechmophorus occidentalis",1,0,"Aechmophorus occidentalis","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","GBIF","GBIF:2482033","Aechmophorus occidentalis","Aechmophorus occidentalis","Find_Sci_Names"
"Aegilops geniculata",1,0,"Aegilops geniculata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","GBIF","GBIF:5289781","Aegilops geniculata","Aegilops geniculata","Find_Sci_Names"
"Aegilops neglecta",1,0,"Aegilops neglecta","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","GBIF","GBIF:4138080","Aegilops neglecta","Aegilops neglecta","Find_Sci_Names"
"Aegilops triuncialis",1,1,"Aegilops triuncialis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","GBIF","GBIF:5289793","Aegilops triuncialis","Aegilops triuncialis","Find_Sci_Names"
"Aegithalos caudatus",1,1,"Aegithalos caudatus","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","GBIF","GBIF:2495000","Aegithalos caudatus","Aegithalos caudatus","Find_Sci_Names"
"Aegithina tiphia",0,1,"Aegithina tiphia","Animalia","Chordata","Aves","Passeriformes","Aegithinidae","GBIF","GBIF:2484096","Aegithina tiphia","Aegithina tiphia","Find_Sci_Names"
"Aegolius acadicus",1,1,"Aegolius acadicus","Animalia","Chordata","Aves","Strigiformes","Strigidae","GBIF","GBIF:5232207","Aegolius acadicus","Aegolius acadicus","Find_Sci_Names"
"Aegolius funereus",1,1,"Aegolius funereus","Animalia","Chordata","Aves","Strigiformes","Strigidae","GBIF","GBIF:5739298","Aegolius funereus","Aegolius funereus","Find_Sci_Names"
"Aegopodium podagraria",1,0,"Aegopodium podagraria","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","GBIF","GBIF:3034620","Aegopodium podagraria","Aegopodium podagraria","Find_Sci_Names"
"Trigonoceps occipitalis",0,1,"Trigonoceps occipitalis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","NCBI","NCBI:8975","Aegypius occipitalis","Aegypius occipitalis","Find_Sci_Names"
"Torgos tracheliotus",0,1,"Torgos tracheliotus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480362","Aegypius tracheliotus","Aegypius tracheliotus","Find_Sci_Names"
"Aeshna grandis",0,1,"Aeshna grandis","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425264","Aehsna grandis","Aehsna grandis","Find_Sci_Names"
"Aelia acuminata",1,1,"Aelia acuminata","Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","GBIF","GBIF:2079123","Aelia acuminata","Aelia acuminata","Find_Sci_Names"
"Aepyceros melampus",0,1,"Aepyceros melampus","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","GBIF","GBIF:2441144","Aepyceros melampus","Aepyceros melampus","Find_Sci_Names"
"Aerodramus spodiopygius",1,0,"Aerodramus spodiopygius","Animalia","Chordata","Aves","Apodiformes","Apodidae","GBIF","GBIF:2477248","Aerodramus spodiopygius","Aerodramus spodiopygius","Find_Sci_Names"
"Aeronautes saxatalis",1,1,"Aeronautes saxatalis","Animalia","Chordata","Aves","Apodiformes","Apodidae","GBIF","GBIF:2477108","Aeronautes saxatalis","Aeronautes saxatalis","Find_Sci_Names"
"Aesculus californica",1,1,"Aesculus californica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189813","Aesculus californica","Aesculus californica","Find_Sci_Names"
"Aesculus flava",1,0,"Aesculus flava","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189824","Aesculus flava","Aesculus flava","Find_Sci_Names"
"Aesculus glabra",1,0,"Aesculus glabra","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189806","Aesculus glabra","Aesculus glabra","Find_Sci_Names"
"Aesculus sp.",1,1,"Aesculus sp.","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Bioshifts_v1",NA,"Aesculus sp.","Aesculus sp.",NA
"Aeshna affinis",1,1,"Aeshna affinis","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425203","Aeshna affinis","Aeshna affinis","Find_Sci_Names"
"Aeshna caerulea",1,1,"Aeshna caerulea","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425216","Aeshna caerulea","Aeshna caerulea","Find_Sci_Names"
"Aeshna canadensis",0,1,"Aeshna canadensis","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425205","Aeshna canadensis","Aeshna canadensis","Find_Sci_Names"
"Aeshna clepsydra",0,1,"Aeshna clepsydra","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425200","Aeshna clepsydra","Aeshna clepsydra","Find_Sci_Names"
"Aeshna constricta",0,1,"Aeshna constricta","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425186","Aeshna constricta","Aeshna constricta","Find_Sci_Names"
"Aeshna crenata",1,1,"Aeshna crenata","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425209","Aeshna crenata","Aeshna crenata","Find_Sci_Names"
"Aeshna cyanea",1,1,"Aeshna cyanea","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425240","Aeshna cyanea","Aeshna cyanea","Find_Sci_Names"
"Aeshna eremita",0,1,"Aeshna eremita","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425207","Aeshna eremita","Aeshna eremita","Find_Sci_Names"
"Aeshna grandis",1,1,"Aeshna grandis","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425264","Aeshna grandis","Aeshna grandis","Find_Sci_Names"
"Aeshna interrupta",0,1,"Aeshna interrupta","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425268","Aeshna interupta","Aeshna interupta","Find_Sci_Names"
"Aeshna isoceles",0,1,"Aeshna isoceles","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:4513948","Aeshna isoceles","Aeshna isoceles","Find_Sci_Names"
"Aeshna isoceles",1,1,"Aeshna isosceles","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:4513950","Aeshna isosceles","Aeshna isosceles","Find_Sci_Names"
"Aeshna juncea",1,1,"Aeshna juncea","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425221","Aeshna juncea","Aeshna juncea","Find_Sci_Names"
"Aeshna mixta",1,1,"Aeshna mixta","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425177","Aeshna mixta","Aeshna mixta","Find_Sci_Names"
"Aeshna serrata",1,1,"Aeshna serrata","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425194","Aeshna serrata","Aeshna serrata","Find_Sci_Names"
"Aeshna sitchensis",0,1,"Aeshna sitchensis","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425193","Aeshna sitchensis","Aeshna sitchensis","Find_Sci_Names"
"Aeshna subarctica",1,1,"Aeshna subarctica","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425166","Aeshna subarctica","Aeshna subarctica","Find_Sci_Names"
"Aeshna tuberculifera",0,1,"Aeshna tuberculifera","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425171","Aeshna tuberculifera","Aeshna tuberculifera","Find_Sci_Names"
"Aeshna umbrosa",0,1,"Aeshna umbrosa","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425250","Aeshna umbrosa","Aeshna umbrosa","Find_Sci_Names"
"Aeshna viridis",1,1,"Aeshna viridis","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","GBIF","GBIF:1425187","Aeshna viridis","Aeshna viridis","Find_Sci_Names"
"Aethalura punctulata",1,1,"Aethalura punctulata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","GBIF","GBIF:1990150","Aethalura punctulata","Aethalura punctulata","Find_Sci_Names"
"Hecatera dysodea",1,1,"Hecatera dysodea","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","GBIF","GBIF:1789076","Aetheria dysodea","Aetheria dysodea","Find_Sci_Names"
"Aethomyias arfakianus",0,1,"Sericornis arfakianus","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:2486601","Aethomyias arfakianus","Aethomyias arfakianus","Find_Sci_Names"
"Aethomyias papuensis",0,1,"Sericornis papuensis","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:2486603","Aethomyias papuensis","Aethomyias papuensis","Find_Sci_Names"
"Sericornis perspicillatus",0,1,"Sericornis perspicillatus","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:2486608","Aethomyias perspicillatus","Aethomyias perspicillatus","Find_Sci_Names"
"Aethomyias spilodera",0,1,"Sericornis spilodera","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:2486604","Aethomyias spilodera","Aethomyias spilodera","Find_Sci_Names"
"Aethopyga siparaja",0,1,"Aethopyga siparaja","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","GBIF","GBIF:2484677","Aethopyga siparaja","Aethopyga siparaja","Find_Sci_Names"
"Aethopyga temminckii",1,1,"Aethopyga temminckii","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","GBIF","GBIF:6086743","Aethopyga temminckii","Aethopyga temminckii","Find_Sci_Names"
"Aethusa cynapium",1,1,"Aethusa cynapium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","GBIF","GBIF:5371825","Aethusa cynapium","Aethusa cynapium","Find_Sci_Names"
"Aethusa cynapium",1,0,"Aethusa cynapium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","GBIF","GBIF:5371825","Aethusa cynapium","Aethusa cynapium agrestis","Find_Sci_Names"
"Aetideus armatus",1,0,"Aetideus armatus","Animalia","Arthropoda","Copepoda","Calanoida","Aetideidae","GBIF","GBIF:5166416","Aetideus armatus","Aetideus armatus","Find_Sci_Names"
"Afraegle paniculata",1,0,"Afraegle paniculata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","GBIF","GBIF:3835111","Afrgle paniculata","Afrgle paniculata","Find_Sci_Names"
"Afrixalus aureus",1,1,"Afrixalus aureus","Animalia","Chordata","Amphibia","Anura","Hyperoliidae","GBIF","GBIF:2426558","Afrixalus aureus","Afrixalus aureus","Find_Sci_Names"
"Afrixalus delicatus",1,1,"Afrixalus delicatus","Animalia","Chordata","Amphibia","Anura","Hyperoliidae","GBIF","GBIF:2426573","Afrixalus delicatus","Afrixalus delicatus","Find_Sci_Names"
"Afrixalus fornasini",1,1,"Afrixalus fornasini","Animalia","Chordata","Amphibia","Anura","Hyperoliidae","GBIF","GBIF:2426566","Afrixalus fornasinii","Afrixalus fornasinii","Find_Sci_Names"
"Afrixalus knysnae",1,1,"Afrixalus knysnae","Animalia","Chordata","Amphibia","Anura","Hyperoliidae","GBIF","GBIF:2426576","Afrixalus knysnae","Afrixalus knysnae","Find_Sci_Names"
"Afrixalus spinifrons",1,1,"Afrixalus spinifrons","Animalia","Chordata","Amphibia","Anura","Hyperoliidae","GBIF","GBIF:2426562","Afrixalus spinifrons","Afrixalus spinifrons","Find_Sci_Names"
"Pericopsis laxiflora",1,0,"Pericopsis laxiflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:2940390","Afrormosia laxiflora","Afrormosia laxiflora","Find_Sci_Names"
"Agabus bipustulatus",1,1,"Agabus bipustulatus","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","GBIF","GBIF:4469860","Agabus bipustulatus","Agabus bipustulatus","Find_Sci_Names"
"Agabus guttatus",1,0,"Agabus guttatus","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","GBIF","GBIF:4469878","Agabus guttatus","Agabus guttatus","Find_Sci_Names"
"Agabus melanarius",1,1,"Agabus melanarius","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","GBIF","GBIF:4469880","Agabus melanarius","Agabus melanarius","Find_Sci_Names"
"Agabus nebulosus",1,0,"Agabus nebulosus","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","GBIF","GBIF:4469867","Agabus nebulosus","Agabus nebulosus","Find_Sci_Names"
"Agabus sturmii",1,0,"Agabus sturmii","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","GBIF","GBIF:4469907","Agabus sturmii","Agabus sturmii","Find_Sci_Names"
"Agalenatea redii",1,1,"Agalenatea redii","Animalia","Arthropoda","Arachnida","Araneae","Araneidae","GBIF","GBIF:2160943","Agalenatea redii","Agalenatea redii","Find_Sci_Names"
"Agapornis roseicollis",0,1,"Agapornis roseicollis","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","GBIF","GBIF:9770031","Agapornis roseicollis","Agapornis roseicollis","Find_Sci_Names"
"Agastache parvifolia",1,1,"Agastache parvifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","GBIF","GBIF:2926409","Agastache parvifolia","Agastache parvifolia","Find_Sci_Names"
"Agastache urticifolia",1,1,"Agastache urticifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","GBIF","GBIF:2926403","Agastache urticifolia","Agastache urticifolia","Find_Sci_Names"
"Agathia lycaenaria",0,1,"Agathia lycaenaria","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","GBIF","GBIF:1985167","Agathia lycaenaria","Agathia lycaenaria","Find_Sci_Names"
"Agathia succedanea",0,1,"Agathia succedanea","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","GBIF","GBIF:1985226","Agathia succedanea","Agathia succedanea","Find_Sci_Names"
"Agathidium bohemicum",1,1,"Agathidium bohemicum","Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","GBIF","GBIF:5747843","Agathidium bohemicum","Agathidium bohemicum","Find_Sci_Names"
"Agathidium dentatum",1,1,"Agathidium dentatum","Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","GBIF","GBIF:5747849","Agathidium dentatum","Agathidium dentatum","Find_Sci_Names"
"Agathidium nigripenne",1,1,"Agathidium nigripenne","Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","GBIF","GBIF:5747778","Agathidium nigripenne","Agathidium nigripenne","Find_Sci_Names"
"Halogeton alopecuroides",0,1,"Halogeton alopecuroides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","GBIF","GBIF:3760320","Agathopora alopecuroides","Agathopora alopecuroides","Find_Sci_Names"
"Agave deserti",1,1,"Agave deserti","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","GBIF","GBIF:2767087","Agave deserti","Agave deserti","Find_Sci_Names"
"Agave schottii",1,1,"Agave schottii","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","GBIF","GBIF:2766574","Agave schottii","Agave schottii","Find_Sci_Names"
"Agave sisalana",1,0,"Agave sisalana","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","GBIF","GBIF:2766636","Agave sisalana","Agave sisalana","Find_Sci_Names"
"Agave utahensis",1,1,"Agave utahensis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","GBIF","GBIF:2766587","Agave utahensis","Agave utahensis var. nevadensis","Find_Sci_Names"
"Agelaius phoeniceus",1,1,"Agelaius phoeniceus","Animalia","Chordata","Aves","Passeriformes","Icteridae","GBIF","GBIF:9409198","Agelaius phoeniceus","Agelaius phoeniceus","Find_Sci_Names"
"Agelaius tricolor",1,1,"Agelaius tricolor","Animalia","Chordata","Aves","Passeriformes","Icteridae","GBIF","GBIF:2484445","Agelaius tricolor","Agelaius tricolor","Find_Sci_Names"
"Agelena labyrinthica",1,1,"Agelena labyrinthica","Animalia","Arthropoda","Arachnida","Araneae","Agelenidae","GBIF","GBIF:2139576","Agelena labyrinthica","Agelena labyrinthica","Find_Sci_Names"
"Agenioideus cinctellus",1,1,"Agenioideus cinctellus","Animalia","Arthropoda","Insecta","Hymenoptera","Pompilidae","GBIF","GBIF:4505294","Agenioideus cinctellus","Agenioideus cinctellus","Find_Sci_Names"
"Ageratina adenophora",1,1,"Ageratina adenophora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:5400613","Ageratina adenophora","Ageratina adenophora","Find_Sci_Names"
"Ageratina occidentalis",1,1,"Ageratina occidentalis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:5400196","Ageratina occidentalis","Ageratina occidentalis","Find_Sci_Names"
"Aglaiocercus kingi",1,1,"Aglaiocercus kingii","Animalia","Chordata","Aves","Apodiformes","Trochilidae","GBIF","GBIF:2476388","Aglaiocercus kingi","Aglaiocercus kingi","Find_Sci_Names"
"Aglaiocercus kingii",1,1,"Aglaiocercus kingii","Animalia","Chordata","Aves","Apodiformes","Trochilidae","GBIF","GBIF:2476388","Aglaiocercus kingi","Aglaiocercus kingi","Find_Sci_Names"
"Nymphalis io",0,1,"Aglais io","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","GBIF","GBIF:4535827","Aglais io","Aglais io","Find_Sci_Names"
"Nymphalis polychloros",1,1,"Nymphalis polychloros","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","GBIF","GBIF:7762841","Aglais polychloros","Aglais polychloros","Find_Sci_Names"
"Nymphalis urticae",1,1,"Aglais urticae","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","GBIF","GBIF:1894840","Aglais urticae","Aglais urticae","Find_Sci_Names"
"Aglais urticae",1,1,"Aglais urticae","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","GBIF","GBIF:1894840","Aglais urticae","Aglais urticae","Find_Sci_Names"
"Aglaophenia kirchenpaueri",0,1,"Aglaophenia kirchenpaueri","Animalia","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","GBIF","GBIF:2267339","Aglaophenia kirchenpaueri","Aglaophenia kirchenpaueri","Find_Sci_Names"
"Aglaophenia octodonta",0,1,"Aglaophenia octodonta","Animalia","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","GBIF","GBIF:2267375","Aglaophenia octodonta","Aglaophenia octodonta","Find_Sci_Names"
"Aglaophenia picardi",0,1,"Aglaophenia picardi","Animalia","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","GBIF","GBIF:2267420","Aglaophenia picardi","Aglaophenia picardi","Find_Sci_Names"
"Aglaophenia tubiformis",0,1,"Aglaophenia tubiformis","Animalia","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","GBIF","GBIF:2267353","Aglaophenia tubiformis","Aglaophenia tubiformis","Find_Sci_Names"
"Aglaostigma fulvipes",1,1,"Aglaostigma fulvipes","Animalia","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","GBIF","GBIF:4490700","Aglaostigma fulvipes","Aglaostigma fulvipes","Find_Sci_Names"
"Aglia tau",1,1,"Aglia tau","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","GBIF","GBIF:5124911","Aglia tau","Aglia tau","Find_Sci_Names"
"Aglyptodactylus madagascariensis",1,1,"Aglyptodactylus madagascariensis","Animalia","Chordata","Amphibia","Anura","Mantellidae","GBIF","GBIF:2423310","Aglyptodactylus madagascariensis","Aglyptodactylus madagascariensis","Find_Sci_Names"
"Agoliinus lapponum",0,1,"Agoliinus lapponum","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","GBIF","GBIF:1068307","Agoliinus lapponum","Agoliinus lapponum","Find_Sci_Names"
"Agoliinus satyrus",1,1,"Agoliinus satyrus","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","GBIF","GBIF:1068324","Agoliinus satyrus","Agoliinus satyrus","Find_Sci_Names"
"Agonum emarginatum",1,1,"Agonum emarginatum","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:5755060","Agonum emarginatum","Agonum emarginatum","Find_Sci_Names"
"Agonum fuliginosum",1,1,"Agonum fuliginosum","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:5755079","Agonum fuliginosum","Agonum fuliginosum","Find_Sci_Names"
"Agonum gracile",1,1,"Agonum gracile","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:5755080","Agonum gracile","Agonum gracile","Find_Sci_Names"
"Agonum marginatum",1,1,"Agonum marginatum","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:5755011","Agonum marginatum","Agonum marginatum","Find_Sci_Names"
"Agonum micans",1,1,"Agonum micans","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:5755082","Agonum micans","Agonum micans","Find_Sci_Names"
"Agonum muelleri",1,1,"Agonum muelleri","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:4988484","Agonum muelleri","Agonum muelleri","Find_Sci_Names"
"Agonum piceum",1,1,"Agonum piceum","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:9206709","Agonum piceum","Agonum piceum","Find_Sci_Names"
"Agonum sexpunctatum",1,1,"Agonum sexpunctatum","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:9775518","Agonum sexpunctatum","Agonum sexpunctatum","Find_Sci_Names"
"Agonum thoreyi",1,1,"Agonum thoreyi","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:4988447","Agonum thoreyi","Agonum thoreyi","Find_Sci_Names"
"Agonum viduum",1,1,"Agonum viduum","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:5755075","Agonum viduum","Agonum viduum","Find_Sci_Names"
